french	russian	notes
Moon : On pourrait taguer des trucs sur sa voiture.	Moon : Можно написать что-нибудь на его машине.	« taguer » signifie écrire ou peindre à la bombe sur un support. « написать что-нибудь на машине » explicite l’acte.
Liz : Du genre ?	Liz : Типа?	
Moon : Du genre « Marco, salaud » !	Moon : Типа «Марко, подонок»!	
Raph : Ça manque de classe. Et puis il ne s’appelle plus Marco ?	Raph : Не хватает класса. И потом, его уже не Марко зовут?	« ça manque de classe » signifie que ce n’est pas assez élégant ou stylé. « не хватает класса » garde le jugement esthétique.
Vay : Il a changé d’identité ?	Vay : Он сменил личность?	
Stan : Ça lui ressemble.	Stan : На него похоже.	
Gwen : Pour ça qu’on s’y perd.	Gwen : Вот почему мы путаемся.	
Moon : « Théophile, pédophile » !	Moon : «Теофиль — педофил»!	
Tom : Qu’est-ce qu’on en sait ? Après tout ce qu’il a fait ?	Tom : Откуда нам знать? После всего, что он сделал?	
Raph : Pédophile c’est plutôt un truc de vieux.	Raph : Педофил — это скорее что-то про стариков.	
Liz : « Sale rapace, gros dégueulasse ».	Liz : «Грязная падаль, жирная гадость».	
Moon : Pas mal. Et puis comme, même s’il s’appelle Théophile, on est bons… Mais c’est quand même dommage d’abimer une Verbeira, non ?	Moon : Неплохо. И если его даже зовут Теофиль, мы всё равно попали… Но всё-таки жалко портить Вербейру, нет?	
Vay : Tu trouves qu’il la mérite ?	Vay : Ты считаешь, он ее заслуживает?	
Stan : Le problème c’est que, s’il a disparu, il ne les verra pas, les tags sur sa voiture.	Stan : Проблема в том, что если он исчез, он их не увидит, эти надписи на своей машине.	
Vay : Et si c’est Richard qui la récupère, on aura tagué la voiture de Richard.	Vay : А если ее заберет Ришар, мы изрисуем машину Ришара.	
Gwen : Ça serait laid de la part de Richard de prendre la voiture de son cousin. Il n’est pas mort quand même.	Gwen : Было бы низко со стороны Ришара взять машину своего кузена. Он же не умер.	
Khal : Disparu, ce n’est pas mort.	Khal : Исчез — не значит умер.	
Vay : Mais ça peut. 	Vay : Но может значить.	
Gwen : Ça peut des fois, mais pas toujours.	Gwen : Иногда может, но не всегда.	
Stan : Mais Richard ne ferait jamais ça.	Stan : Но Ришар никогда бы так не сделал.	
Gwen : Tu plaisantes ? Prêt à tout, Richard, pour faire croire qu’il est riche. Pour qu’on le regarde, pour qu’on l’envie.	Gwen : Шутишь? Ришар готов на всё, чтобы все думали, что он богат. Чтобы на него смотрели, чтобы ему завидовали.	« pour qu’on l’envie » signifie chercher à susciter la jalousie et le désir social. « чтобы ему завидовали » rend cette logique de prestige.
Liz : Mais on ne l’envierait pas.	Liz : Но мы бы ему не завидовали.	
Moon : Sûr que non.	Moon : Уж точно нет.	
Raph : Trop glauque.	Raph : Слишком мутно.	« glauque » signifie malsain, sordide, moralement trouble. « мутно » garde cette impression obscure.
Vay : On n’est pas comme ça.	Vay : Мы не такие.	
Tom : Non, on n’est pas comme ça.	Tom : Нет, мы не такие.	
Khal : Tu dis rien, Ria ?	Khal : Ты ничего не говоришь, Рия?	
Ria	Рия	
Ria : Non, je ne dis rien. Pourquoi ? Pourquoi je dirais quelque chose ? Je sais trop bien comment ça marche. Un mot de travers. Et c’est sur moi que ça retombe. Je le sais. Je le sens. Alors non. Je ne dis rien. Plus rien. Je n’ai plus rien à dire. Parce que je ne sais plus quoi penser. Je pense juste que Khal va s’en aller. Ça se voit. Elle ne nous supporte plus. C’est vrai. On devient cinglés. Avec cette histoire du cousin de Richard. Ou bien on l’était déjà. Tout se mélange. Les voix, les noms, les mots. Ce qu’on pense. Qu’on ne pense pas. Qu’on ne pense plus. Qu’on dit. Ou qu’on ne dit plus. Qu’on dit encore. Alors qu’on ne le pense plus. Moi non plus je ne nous supporte plus. On a l’air de quoi ? Khal ne doit pas s’en aller. C’est à ça que je pense. Pas sans moi en tout cas. Je n’ai pas envie de m’en aller. Je ne dois pas la laisser s’en aller. Je ne me supporte pas quand je dis ça. Mais je le dis. Quand même. Parce que je le pense. Je le pense si fort. Peut-être qu’elle va entendre. Que je ne veux pas. La laisser s’en aller. Elle n’imagine pas. Sûr. Sûr qu’elle ne m’imagine pas comme ça. Comme ça. « On n’est pas comme ça ». Comme quoi ? On a l’air de quoi ?	Ria : Нет, я ничего не говорю. Почему? Почему я должна что-то сказать? Я слишком хорошо знаю, как это работает. Одно неверное слово. И всё падает на меня. Я знаю. Я чувствую. Так что нет. Я ничего не говорю. Больше ничего. Мне больше нечего сказать. Потому что я уже не знаю, что думать. Я думаю только, что Каль уедет. Это видно. Она нас больше не выносит. Это правда. Мы сходим с ума. С этой историей двоюродного брата Ришара. Или уже сошли. Всё смешивается. Голоса, имена, слова. То, что думаешь. Что не думаешь. Что больше не думаешь. Что говоришь. Или больше не говоришь. Что всё еще говоришь. Хотя уже не думаешь. Я тоже больше нас не выношу. На что мы похожи? Каль не должна уезжать. Вот о чем я думаю. Во всяком случае не без меня. Я не хочу уезжать. Я не должна дать ей уехать. Я себя не выношу, когда говорю это. Но говорю. Всё равно. Потому что думаю. Думаю так сильно. Может, она услышит. Что я не хочу. Дать ей уехать. Она не представляет. Точно. Точно она не представляет меня такой. Такой. «Мы не такие». Какие? На что мы похожи?	« un mot de travers » signifie une parole maladroite ou de trop qui se retourne contre soi. « одно неверное слово » rend le danger.
8 -  Annonce journal	8 - Объявление в газете	
Raph, Gwen, Liz, Ria,Tom, Stan, Vay, Moon	Раф, Гвен, Лиз, Рия, Том, Стэн, Вэй, Мун	
Raph : « Hier, vendredi 4 octobre, un accident de la route a coûté la vie à un jeune homme de 20 ans, Christophe Mandaël. Selon les premiers éléments de l’enquête de police, le véhicule de Christophe Mandaël aurait été percuté de plein fouet par un 4X4 Verbeira flambant neuf au km 145. Le chauffard, âgé d’environ 55 ans, considérablement alcoolisé, aurait circulé au milieu de la chaussée, à une vitesse excessive. Les pompiers et les médecins du SAMU ont tout essayé pour réanimer la victime qui est décédée sur les lieux de la collision. Christophe Mandaël allait, ce soir-là, chercher son cousin, Richard Mandaël pour fêter avec lui sa première embauche au garage Multimécanique. « Nous devions sortir au Paradise. Il m’avait toujours dit que, le jour où il toucherait son premier salaire, c’est là qu’on irait fêter ça » nous a confié le garçon effondré. A l’heure qu’il est, la police recherche activement le chauffard en fuite. La famille du défunt accueillera parents et amis au salon funéraire de Gouvernay de 15 heures à 18 heures. La cérémonie des obsèques se déroulera en l’église Notre Dame le 9 octobre à 15 heures ».	Raph : «Вчера, в пятницу 4 октября, дорожно-транспортное происшествие унесло жизнь молодого человека двадцати лет, Кристофа Мандаэля. По первым данным полицейского расследования, автомобиль Кристофа Мандаэля был протаранен в лоб совершенно новым 4X4 Вербейра на 145-м километре. Лихач, примерно пятидесяти пяти лет, в состоянии сильного алкогольного опьянения, ехал посередине проезжей части на чрезмерной скорости. Пожарные и врачи скорой помощи SAMU сделали всё, чтобы реанимировать пострадавшего, который скончался на месте столкновения. В тот вечер Кристоф Мандаэль ехал за своим двоюродным братом Ришаром Мандаэлем, чтобы отметить с ним его первое трудоустройство в гараже Multimécanique. «Мы должны были пойти в Paradise. Он всегда говорил мне, что в день, когда получит первую зарплату, именно туда мы пойдем это праздновать», — доверил нам убитый горем юноша. В настоящий момент полиция активно разыскивает скрывшегося лихача. Семья покойного будет принимать родственников и друзей в похоронном зале Гуверне с 15 до 18 часов. Церемония похорон состоится в церкви Нотр-Дам 9 октября в 15 часов».	« chauffard » désigne un conducteur dangereux ; « SAMU » est le service médical d’urgence français. « лихач » et « скорая помощь SAMU » explicitent ces références.
Liz : D’où ça sort ?	Liz : Откуда это?	
Raph : De son sac.	Raph : Из его сумки.	
Stan : Tu as fouillé le sac de Richard ? 	Stan : Ты рылся в сумке Ришара?	
Raph : Je n’ai pas fouillé, j’ai juste vérifié.	Raph : Я не рылся, я просто проверял.	« vérifier » est un euphémisme comique pour « fouiller ». « просто проверял » garde la mauvaise foi.
Vay : Quoi ?	Vay : Что?	
Raph : Si ce qu’il me devait s’y trouvait.	Raph : Не лежит ли там то, что он мне должен.	
Gwen : Ca date d’octobre ?	Gwen : Это датировано октябрем?	
Raph : Octobre.	Raph : Октябрем.	
Gwen, Liz, Tom, Ria, Khal, Vay,Stan : …	Gwen, Liz, Tom, Ria, Khal, Vay,Stan : …	
Raph : Trois mois.	Raph : Три месяца.	
Ria : Trois mois qu’il a été percuté par une Verbeira ?	Ria : Три месяца, как его сбила Вербейра?	
Tom : Trois mois que tu nous as dit qu’il s’était acheté une Verbeira.	Tom : Три месяца, как ты сказала нам, что он купил себе Вербейру.	
Raph : Ce n’est pas moi.	Raph : Это не я.	
Liz : Quoi, ce n’est pas toi ? Ce n’est pas toi qui nous l’as dit ?	Liz : Как это не ты? Не ты нам это сказала?	
Raph : J’ai juste dit ce que Moon m’a dit.	Raph : Я просто сказала то, что мне сказала Мун.	
Ria : Mais qui a dit à Moon ce que Moon t’a dit ?	Ria : Но кто сказал Мун то, что Мун сказала тебе?	
Raph : Je n’en sais rien qui a dit à Moon ce que Moon m’a dit… Richard ?	Raph : Не знаю я, кто сказал Мун то, что Мун сказала мне… Ришар?	
Vay : Trois mois qu’on ne le voit presque plus, Richard. Qu’on ne l’entend plus.	Vay : Три месяца мы почти не видим Ришара. Не слышим его.	
Stan : Depuis la mort de son cousin.	Stan : С тех пор как умер его кузен.	
Khal : Tu savais qu’il était mort, son cousin ?	Khal : Ты знала, что его кузен умер?	
Moon : Ben non.	Moon : Ну нет.	
Liz : Et toi ?	Liz : А ты?	
Gwen : Non plus.	Gwen : Тоже нет.	
Stan : Il est secret, Richard.	Stan : Ришар скрытный.	
Gwen : Une tombe.	Gwen : Могила.	« une tombe » désigne quelqu’un qui garde parfaitement les secrets. « могила » garde l’image idiomatique.
Tom : Une huitre.	Tom : Устрица.	« une huître » désigne une personne fermée, peu communicative. « устрица » garde l’image de fermeture.
Ria : Pourquoi il ne nous l’a pas dit ?	Ria : Почему он нам не сказал?	
Tom : Quoi ?	Tom : Что?	
Ria : Il y a trois mois.	Ria : Три месяца назад.	
Raph : Il a oublié.	Raph : Он забыл.	
Liz : Arrête !	Liz : Прекрати!	
Vay : Trop triste.	Vay : Слишком грустно.	
Gwen : Accablé.	Gwen : Раздавлен.	
Stan : Si on avait su, on aurait pu aller à l’enterrement.	Stan : Если бы мы знали, мы могли бы пойти на похороны.	
Liz : En même temps, on ne le connaissait pas.	Liz : С другой стороны, мы его не знали.	
Khal : Non ?	Khal : Нет?	
Moon : Ben non.	Moon : Ну нет.	
Ria : Mais quand même, c’était son cousin.	Ria : Но всё-таки это был его кузен.	
Raph : C’est bizarre d’aller aux obsèques de quelqu’un qu’on ne connait pas.	Raph : Странно идти на похороны человека, которого не знаешь.	
Gwen : On aurait pu y aller pour Richard.	Gwen : Мы могли бы пойти ради Ришара.	
Vay : Je ne sais pas si ça lui aurait fait tellement plaisir.	Vay : Не знаю, так ли ему было бы приятно.	
Tom : On ne sait jamais bien avec lui.	Tom : С ним никогда толком не знаешь.	
Vay : Quand on voit tout ce qu’il raconte.	Vay : Если посмотреть на всё, что он рассказывает.	
Gwen : La copine à Honolulu. Les flics, les trafics.	Gwen : Девушка в Гонолулу. Копы, махинации.	« flics » est familier pour policiers ; « trafics » évoque des affaires illégales. « копы » et « махинации » gardent le registre.
Tom : C’est lui ?	Tom : Это он?	
Raph : Et tout ce qu’il ne raconte pas.	Raph : И всё, что он не рассказывает.	
Ria : C’est ça surtout.	Ria : Вот именно это главное.	
Moon : S’il disait les choses telles qu’elles sont, ça éviterait de…	Moon : Если бы он говорил всё как есть, это позволило бы избежать…	
Tom : On dirait qu’il n’a pas tellement confiance en nous.	Tom : Такое чувство, что он нам не очень доверяет.	
Liz : Il a toujours été méfiant, Richard.	Liz : Ришар всегда был недоверчивым.	
Gwen : Toujours préféré ses cousins à ses copains.	Gwen : Всегда предпочитал своих кузенов друзьям.	
Khal : Alors forcément…	Khal : Ну тогда, конечно…	
Vay : Ben oui forcément, on voit où ça mène…	Vay : Ну да, конечно, видим, к чему это приводит…	
Liz : Il va avoir honte maintenant vis-à-vis de nous.	Liz : Теперь ему будет стыдно перед нами.	
Tom : Imaginer son cousin gigolo ! Un cousin mort encore plus !	Tom : Представить своего кузена жиголо! А мертвого кузена тем более!	
Stan : Ca ce n’est pas lui, ça, c’est Moon !	Stan : Это не он, это Мун!	
Moon : Je n’ai rien inventé. C’est Ria qui me l’a dit.	Moon : Я ничего не выдумала. Это Рия мне сказала.	
Gwen : Ria ? Alors, faut pas s’étonner.	Gwen : Рия? Тогда нечего удивляться.	
Ria : Ah ?	Ria : А?	
Gwen : Tu n’as jamais remarqué ?	Gwen : Ты никогда не замечала?	
Moon : Tom oui, mais Ria…	Moon : Том да, но Рия…	
Khal : Prête à tout pour se rendre intéressante.	Khal : На всё готова, лишь бы быть интересной.	« se rendre intéressante » signifie attirer l’attention sur soi en dramatisant ou inventant. « быть интересной » garde le reproche.
Vay : Pour attirer l’attention.	Vay : Чтобы привлечь внимание.	
Liz : Une imagination !	Liz : Воображение!	
Liz: Tom ou Ria ?	Liz: Том или Рия?	
Liz : Les deux !	Liz : Оба!	
Tom et Ria : Hé ho ! On est là quand même !	Tom et Ria : Эй-эй! Мы вообще-то здесь!	
Raph : Enfin, on n’est pas dupes !	Raph : В общем, нас не проведешь!	« on n’est pas dupes » signifie qu’on ne se laisse pas tromper. « нас не проведешь » rend l’idiome.
Vay : Vous avez quand même essayé de nous mener en bateau.	Vay : Вы всё-таки попытались водить нас за нос.	« mener en bateau » signifie tromper quelqu’un, lui raconter des histoires. « водить нас за нос » est l’équivalent idiomatique.
Gwen : Mais on n’est pas naïfs au point de croire tout ce qu’on nous dit.	Gwen : Но мы не настолько наивны, чтобы верить всему, что нам говорят.	
Liz : On garde toujours un sens critique.	Liz : Мы всегда сохраняем критическое мышление.	
Khal : C’est important.	Khal : Это важно.	
Raph : Capital.	Raph : Капитально.	« capital » signifie ici essentiel, très important. « капитально » garde un écho lexical et une pointe d’emphase.
FIN	КОНЕЦ	
